,食品饮料,电力设备,电子,医药生物,有色金属,银行
2022Q1,-0.20324815875152058,-0.15119434166892476,-0.2551356345923689,-0.0961203555636242,-0.06882692924236711,0.014610724905853578
2022Q2,0.20190929967582516,0.15095251215622119,0.013403627697086806,-0.038737923626815496,0.06820187786282705,-0.040139095322683005
2022Q3,-0.11825394096748065,-0.1801377680297931,-0.17581233961036613,-0.15980421476971973,-0.16338650682565325,-0.11841642722880574
2022Q4,0.005741889241909437,-0.03887575734832227,0.01937773723694769,0.10562237687222575,-0.024444080228689602,0.04077456178797778
2023Q1,0.04409160012719893,-0.003599604203995299,0.1550205064961141,0.01862967119958925,0.06156356979684641,-0.027043714497406612
2023Q2,-0.12913584841425096,-0.03147531831747952,-0.03900715383603026,-0.07291552791400713,-0.0866487578590821,-0.0013603184056286688
2023Q3,0.005472065017061878,-0.15677797951985395,-0.07017095077155178,-0.0156761332126909,-0.03883154320279192,0.01504254341514022
2023Q4,-0.0695909138339903,-0.09292026091551797,0.039176890692085076,-3.558305202955303e-05,-0.02026338893766466,-0.06610076441750534
2024Q1,-0.008758143224473547,-0.04337114377678386,-0.10454254946477182,-0.12081824953621834,0.0854565440772328,0.10595757846608733
2024Q2,-0.143619403852562,-0.11728329601541576,0.015466211151559328,-0.10245004789465872,-0.05367753411810283,0.05809854776943335
2024Q3,0.1826127559866466,0.22960787813467487,0.1410077697198544,0.1762374243355731,0.10751915207433305,0.09306028442757475
2024Q4,-0.08390118685552139,-0.007242523340353912,0.14237369389617105,-0.07704349670742838,-0.09298500628064177,0.0506717623313202
2025Q1,-0.011740506082410618,-0.006960749303362879,0.03295842969146601,0.02294972107262061,0.11963436691608798,0.020348651310320154
2025Q2,-0.062247640512748115,0.0002916512700277263,0.0068955274084654405,0.04953262426130811,0.05500385763366733,0.10846097921732811
2025Q3,0.02441842578995268,0.4466808864179679,0.47594958675893184,0.14897066163185269,0.41819707518297267,-0.10194411901735567
2025Q4,-0.026811893848080692,0.008948051211107977,-0.0351323784020533,-0.07350549380242521,0.15773415359093046,0.043016628932781575
